time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-02T05:11:53.050Z,33.9206667,-117.033,31.37,0.88,ml,16,74,0.0436,0.35,ci,ci37821831,2017-12-02T05:15:34.959Z,"5km W of Beaumont, CA",earthquake,1.48,0.67,0.289,16,automatic,ci,ci
2017-12-02T05:09:28.380Z,60.3983,-150.5399,40.2,2.4,ml,,,,0.6,ak,ak17428402,2017-12-02T09:12:07.040Z,"19km SE of Sterling, Alaska",earthquake,,1,,,automatic,ak,ak
2017-12-02T05:09:00.453Z,63.0266,-150.4532,98,1.4,ml,,,,0.44,ak,ak17428404,2017-12-02T19:42:52.667Z,"80km NNW of Talkeetna, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-12-02T05:00:59.320Z,38.8276672,-122.7993317,2.66,0.56,md,6,229,0.009413,0,nc,nc72933485,2017-12-02T05:15:04.349Z,"7km W of Cobb, CA",earthquake,2.9,1.61,,1,automatic,nc,nc
2017-12-02T04:58:25.310Z,32.1581667,-116.3211667,26.41,1.9,ml,20,80,0.3288,0.18,ci,ci37821823,2017-12-02T05:02:12.887Z,"43km NE of Ensenada, B.C., MX",earthquake,0.49,0.94,0.17,23,automatic,ci,ci
2017-12-02T04:52:38.555Z,64.8513,-148.693,15.7,0.9,ml,,,,0.39,ak,ak17428400,2017-12-02T04:59:39.322Z,"32km W of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-12-02T04:42:16.490Z,34.2076667,-118.1708333,6.3,1.43,ml,29,42,0.01981,0.17,ci,ci37821815,2017-12-02T04:45:54.644Z,"2km ENE of La Canada Flintridge, CA",earthquake,0.26,0.55,0.145,27,automatic,ci,ci
2017-12-02T04:39:59.893Z,62.0328,-145.6204,22.9,2,ml,,,,1.29,ak,ak17428398,2017-12-02T04:43:36.126Z,"9km SSW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-12-02T04:39:22.275Z,61.4675,-150.6238,53.2,2.3,ml,,,,0.56,ak,ak17428392,2017-12-02T04:53:17.889Z,"36km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-12-02T04:27:47.378Z,60.2747,-152.3906,133.4,1.8,ml,,,,0.75,ak,ak17428389,2017-12-02T04:35:14.229Z,"30km SE of Redoubt Volcano, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-12-02T04:20:07.850Z,33.4888333,-116.7921667,4.54,0.63,ml,27,37,0.02445,0.18,ci,ci37821807,2017-12-02T04:23:49.534Z,"8km NE of Aguanga, CA",earthquake,0.24,0.46,0.096,21,automatic,ci,ci
2017-12-02T04:13:41.675Z,59.8352,-153.4726,138.6,3,ml,,,,0.56,ak,ak17428376,2017-12-02T04:25:52.364Z,"81km E of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-12-02T04:09:43.107Z,37.095,-117.0617,7.7,1.5,ml,27,79.06,0.117,0.2224,nn,nn00614103,2017-12-02T15:44:45.733Z,"33km NW of Beatty, Nevada",earthquake,,2.3,0.43,12,reviewed,nn,nn
2017-12-02T04:05:18.150Z,37.2538338,-121.635498,5.1,2.55,md,60,43,0.03045,0.05,nc,nc72933475,2017-12-02T17:16:16.711Z,"14km N of Morgan Hill, CA",earthquake,0.14,0.38,0.15,62,automatic,nc,nc
